         BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     1687.78112      1687.77129      -1366.4317       1012.6586       4419.5045        450.6963        640.7246       1012.6586
     1687.80195      1687.79212      -1233.6920        999.0909       3035.2862        409.6676        808.5484        999.0909
     1687.82278      1687.81296      -1807.2963       1002.8227       5022.7678        409.6676       1070.0893       1002.8227
     1687.84362      1687.83379       -328.8284       1017.7182       5531.6881        363.3068       1665.0161       1017.7182
     1687.86445      1687.85462      -3052.2375       1006.8537       6582.5564        299.1630        802.9579       1006.8537
     1687.88528      1687.87546      -3116.8109       1017.8981       6057.5441        299.1630        767.0148       1017.8981
     1687.92695      1687.91712       1452.2392       1081.2812       3665.0754        299.1630       1239.1630       1081.2812
     1687.94778      1687.93796      -1304.9883        962.6114       1310.1002        363.3068         46.5370        962.6114
     1687.96861      1687.95879      -1727.2636        978.3777       4472.7246        363.3068       1895.4062        978.3777
     1687.98945      1687.97962       -467.1685       1077.0826       2585.8915        363.3068        847.6169       1077.0826
     1688.01028      1688.00046      -3004.2153       1065.5377       1713.7983        390.3419       -487.4740       1065.5377
     1688.03111      1688.02129      -6807.3774       1060.1183       5759.3191        390.3419        452.9453       1060.1183
     1688.05195      1688.04212       -539.2414       1009.2735       1358.0017        390.3419       -404.8010       1009.2735
     1688.07278      1688.06296        790.6720       1078.6903       1868.9667        363.3068       -457.2702       1078.6903
     1688.09361      1688.08379      -2009.3196        950.5573       1747.5707        363.3068        -81.0277        950.5573
     1688.11445      1688.10462      -3739.7288       1083.8111       5504.0677        363.3068        451.8176       1083.8111
     1688.13528      1688.12546      -1675.7207       1072.4846       4501.6889        299.1630       1153.0111       1072.4846
     1688.15611      1688.14629      -4430.7911        916.4341        624.4012        226.9293       -775.6122        916.4341
     1688.17694      1688.16712      -4799.2176       1080.9888       2820.1638        182.0780       -486.0120       1080.9888
     1688.19778      1688.18796      -1843.5741       1007.1884       2070.1708        130.7377        363.3068       1007.1884
     1688.21861      1688.20879      -2820.3949        921.5811       1015.5388        182.0780      -1115.5615        921.5811
     1688.23944      1688.22962       -752.4809        897.2703      -1583.4585        130.7377       -839.7602        897.2703
     1688.26028      1688.25046      -3156.6138        956.7968       1549.9806         46.5370       -209.9676        956.7968
     1688.28111      1688.27129      -4507.6416        982.1272       4335.4166        -81.0277       -408.1955        982.1272
     1688.30194      1688.29212      -3582.7681        997.5395       2285.7216        -99.9431       -620.7387        997.5395
     1688.32278      1688.31296      -3549.7553       1096.0198       7572.6439        -99.9431       1611.3335       1096.0198
     1688.34361      1688.33379      -2843.3532        962.8539       2097.0314        -99.9431       -812.6500        962.8539
     1688.36444      1688.35462      -2691.9728       1022.2704       1551.0745       -100.4460       -983.8064       1022.2704
     1688.38528      1688.37546       2779.2278        976.1688       2060.6291       -116.4705       1004.3412        976.1688
     1688.40611      1688.39629       1136.3620        970.7656       -238.3521       -116.4705       -573.0522        970.7656
     1688.42694      1688.41712      -1950.2764       1041.5419       5055.9875       -116.4705       1153.5870       1041.5419
