#          BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     1328.09496      1328.08394     -55329.9686       1078.3106     -29447.1106      -4068.1766      -4068.1766       1531.9853
     1328.11580      1328.10478     -57471.0165       1073.1531     -27538.5594      -3957.7989      -7408.8410       1527.9256
     1328.13663      1328.12561     -58698.8486       1073.7260     -27087.6253      -4068.1766      -2414.4016       1527.5087
     1328.15746      1328.14644     -53135.7280       1069.0321     -27102.0789      -3957.7989      -1291.0034       1526.0374
     1328.17830      1328.16728     -57615.8938       1077.9383     -28743.9865      -3957.7989      -4932.6207       1530.1474
     1328.19913      1328.18811     -55133.8595       1079.2470     -27090.8572      -3806.9149      -3957.7989       1531.3124
     1328.21996      1328.20894     -50696.2953       1065.6782     -28358.5288      -3798.9223      -5019.2965       1515.9291
     1328.24080      1328.22978     -53891.4697       1066.2218     -27456.7686      -3798.9223      -1459.6010       1512.2501
     1328.26163      1328.25061     -55607.6665       1063.8345     -24048.6590      -3798.9223      -6472.9803       1510.9247
     1328.28246      1328.27144     -53760.6517       1066.1498     -25726.2938      -3750.5549      -4649.4559       1509.5544
     1328.30330      1328.29228     -55872.2322       1059.5187     -23721.9785      -3750.5549      -6494.6367       1502.4786
     1328.32413      1328.31311     -52433.3303       1051.6918     -24446.4181      -3750.5549       -107.8215       1491.0683
     1328.34496      1328.33394     -51854.1532       1046.7890     -23968.6337      -3665.7081      -3255.4473       1483.4958
     1328.36580      1328.35478     -53698.3341       1048.2393     -24325.5857      -3651.0523      -5589.0775       1486.7473
     1328.38663      1328.37561     -52001.5065       1046.8750     -23633.9638      -3651.0523      -3750.5549       1483.1212
     1328.40746      1328.39644     -53126.7810       1048.4169     -22568.8388      -3750.5549       -263.9600       1487.0464
     1328.42830      1328.41728     -53093.3800       1050.8170     -22940.6535      -3750.5549      -2973.7679       1488.3707
     1328.44913      1328.43811     -53752.1101       1049.5982     -20929.4813      -3798.9223      -2502.6270       1486.4816
     1328.46996      1328.45894     -57980.0597       1060.8933     -21183.9774      -3750.5549      -1294.6006       1502.4034
     1328.49080      1328.47978     -55972.6159       1065.7509     -21963.1235      -3651.0523      -2721.9826       1510.6336
     1328.51163      1328.50061     -60340.3914       1066.1169     -19140.8522      -3651.0523      -2309.4158       1510.1907
     1328.53246      1328.52144     -53133.1174       1078.5540     -22318.4167      -3651.0523      -7851.2263       1523.2395
     1328.55330      1328.54228     -54818.9742       1079.2677     -21768.0159      -3750.5549      -4656.5773       1530.8674
     1328.57413      1328.56311     -53101.6506       1101.8578     -22225.6393      -3750.5549      -4959.5763       1555.5766
     1328.59496      1328.58394     -53558.7513       1102.4400     -21283.8828      -3651.0523      -3651.0523       1558.4506
     1328.61580      1328.60478     -55446.5855       1102.5011     -23052.0905      -3651.0523      -5129.2542       1559.9026
     1328.63663      1328.62561     -54246.0877       1104.5588     -21101.0258      -3593.1147      -3798.9223       1558.0066
     1328.65746      1328.64644     -53787.0171       1103.3215     -21543.0768      -3651.0523      -6510.8050       1559.3087
     1328.67830      1328.66728     -53791.2625       1106.0284     -20719.8523      -3651.0523       -873.2093       1559.6093
     1328.69913      1328.68811     -58960.0820       1097.3238     -20621.7402      -3593.1147      -1277.9696       1551.6983
     1328.71996      1328.70894     -55699.1913       1091.8806     -19602.7615      -3579.7433      -5738.6688       1544.9369
     1328.74080      1328.72978     -52973.3625       1092.1102     -18529.3078      -3579.7433      -3417.1486       1545.2108
     1328.76163      1328.75061     -56127.9787       1094.2263     -21356.3878      -3593.1147      -2460.0916       1546.7489
     1328.78246      1328.77144     -52862.0926       1093.7827     -20784.6098      -3593.1147      -7244.0522       1544.3134
